Time,Data
1.122,-0.14682395061833212
1.123,-0.1542505662610095
1.124,-0.15084281861507057
1.125,-0.1418187939764679
1.126,-0.1385163226781316
1.127,-0.13139183527330847
1.128,-0.12501312254489316
1.129,-0.1270350414469762
1.13,-0.12415026334641661
1.131,-0.12001373115382664
1.132,-0.12014793314568156
1.133,-0.12084415124199277
1.134,-0.13508018169777464
1.135,-0.1474758718589103
1.136,-0.15030339433333592
1.137,-0.15555997528428644
1.138,-0.16709850487391553
1.139,-0.17779865821993326
1.14,-0.18675073383249188
1.141,-0.18541892316141653
1.142,-0.17375176564213174
1.143,-0.16121536803586448
1.144,-0.1497383465388286
1.145,-0.13657388465723924
1.146,-0.12810051304711953
1.147,-0.12359584146759692
1.148,-0.12002377278797068
1.149,-0.1158742095255192
1.15,-0.11008502236987051
1.151,-0.11706079494122151
1.152,-0.12478457755862228
1.153,-0.12300123410874103
1.154,-0.12443751842564105
1.155,-0.1330174954674999
1.156,-0.1350336313952063
1.157,-0.13824341593781356
1.158,-0.13687672858037928
1.159,-0.12355710044920348
1.16,-0.11315682742245708
1.161,-0.11261810834170584
1.162,-0.10677757816012327
1.163,-0.10022886594851155
1.164,-0.09724792395154726
1.165,-0.09979115647078352
1.166,-0.10556013858327686
1.167,-0.10711253766687354
1.168,-0.10498980222295139
1.169,-0.11083014308402744
1.17,-0.11644059002129667
1.171,-0.12181310559417269
1.172,-0.12508418966293414
1.173,-0.1304517021274219
1.174,-0.13407340780236265
1.175,-0.13097645838327363
1.176,-0.12600452156793546
1.177,-0.13282006624302395
1.178,-0.13996550417480744
1.179,-0.13797167438443966
1.18,-0.13448913593996867
1.181,-0.12841008991483047
1.182,-0.12494850879972956
1.183,-0.12665359267609755
1.184,-0.1253455985838403
1.185,-0.11598049044407592
1.186,-0.10846691322747859
1.187,-0.11047180916286932
1.188,-0.12425645604753231
1.189,-0.13558121414926927
1.19,-0.14370512725934598
1.191,-0.14948795571350826
1.192,-0.15958093963989997
1.193,-0.165673054298761
1.194,-0.16974598472134136
1.195,-0.17228665512156954
1.196,-0.1684122160910679
1.197,-0.1618780733531972
1.198,-0.15596194025970248
1.199,-0.14424161654757936
1.2,-0.1303062214984659
1.201,-0.12345533350943852
1.202,-0.12444468096002556
1.203,-0.13132954161747734
1.204,-0.139439053927741
1.205,-0.1514896014105044
1.206,-0.1628181923520939
1.207,-0.16769275287466948
1.208,-0.17364035574343564
1.209,-0.1787299352579261
1.21,-0.17675405314299555
1.211,-0.16927334900748475
1.212,-0.16151376602373516
1.213,-0.15513530718786375
1.214,-0.1509162843834357
1.215,-0.14241375646094148
1.216,-0.1356657585925366
1.217,-0.14699298689206816
1.218,-0.15793835175833798
1.219,-0.16135602888088282
1.22,-0.1816325897603863
1.221,-0.1989971969714833
1.222,-0.1988607203967523
1.223,-0.19911829625302566
1.224,-0.19735729559640153
1.225,-0.19193135451340548
1.226,-0.18888730547681976
1.227,-0.1827603573726135
1.228,-0.17027811504638243
1.229,-0.16303112475509052
1.23,-0.1551733530096353
1.231,-0.14920939605181638
1.232,-0.15290774343067362
1.233,-0.1603546472666975
1.234,-0.17513600582972721
1.235,-0.18861045311922559
1.236,-0.19422017728932406
1.237,-0.19877992663324306
1.238,-0.19769013111946354
1.239,-0.18803574014780985
1.24,-0.18255498092114655
1.241,-0.17848725132734836
1.242,-0.16833191439208114
1.243,-0.16256561471854064
1.244,-0.16437207111337565
1.245,-0.16743421847202392
1.246,-0.1718252127706181
1.247,-0.17301505174273676
1.248,-0.18198739443104286
1.249,-0.19844088184529918
1.25,-0.20803462639506756
1.251,-0.20963106810292384
1.252,-0.21149194087780834
1.253,-0.21839374869630962
1.254,-0.21864552124332887
1.255,-0.21001034459162948
1.256,-0.1945496228423624
1.257,-0.1814220409457695
1.258,-0.17667560959516027
1.259,-0.17207019432343765
1.26,-0.1729602112696715
1.261,-0.1742545764400223
1.262,-0.17545616750712406
1.263,-0.18376886375391835
1.264,-0.1932492019636779
1.265,-0.1999735698517177
1.266,-0.20219135180732456
1.267,-0.19343915434301445
1.268,-0.18459986542033133
1.269,-0.18190095328401643
1.27,-0.18485702310889776
1.271,-0.18017038667529003
1.272,-0.1736089641103287
1.273,-0.16888264342082204
1.274,-0.15953741847917735
1.275,-0.14988195909399057
1.276,-0.14795486936174135
1.277,-0.15353401413629242
1.278,-0.15718306733742707
1.279,-0.1563256905276044
1.28,-0.15833493245162053
1.281,-0.16262461963024993
1.282,-0.16773045552059856
1.283,-0.16837085028952548
1.284,-0.15848069090798944
1.285,-0.14921488577507552
1.286,-0.14892220746802454
1.287,-0.150093416529491
1.288,-0.151290633473856
1.289,-0.1530672062869464
1.29,-0.15588866475497554
1.291,-0.16206553874625865
1.292,-0.16670767831402372
1.293,-0.17270720601569098
1.294,-0.1807535047421245
1.295,-0.18037907951925136
1.296,-0.1820303363675571
1.297,-0.19315305865581694
1.298,-0.2012794251552204
1.299,-0.20310246782337416
1.3,-0.20452528422255226
1.301,-0.19467606094708337
1.302,-0.1778855346474748
1.303,-0.17063001269482525
1.304,-0.16344933037888063
1.305,-0.15585392535343984
1.306,-0.14923755570856095
1.307,-0.1368114965737129
1.308,-0.12657232039585053
1.309,-0.1243092104805773
1.31,-0.11764930847987469
1.311,-0.10913229622816562
1.312,-0.10429972464819665
1.313,-0.10478170778560122
1.314,-0.106364137568899
1.315,-0.10602349107632063
1.316,-0.10792284241677635
1.317,-0.10937054220172372
1.318,-0.10775058205330038
1.319,-0.10643935458523816
1.32,-0.11172616092176572
1.321,-0.11475385199050793
1.322,-0.11649162003281499
1.323,-0.12174510914766229
1.324,-0.12420114276684388
1.325,-0.13149714369235183
1.326,-0.14230027729378458
1.327,-0.14537953447081406
1.328,-0.14365573855382877
1.329,-0.14421938248814758
1.33,-0.14231317248377154
1.331,-0.13628363303196775
1.332,-0.13151248880855537
1.333,-0.12634242832847267
1.334,-0.12701249152487654
1.335,-0.13161566772763153
1.336,-0.1340860386338375
1.337,-0.1372162166122967
1.338,-0.13969944282165897
1.339,-0.14018596033122954
1.34,-0.14534117543299085
1.341,-0.15289401752410217
1.342,-0.15566742471049047
1.343,-0.15758801147985843
1.344,-0.16267733836695955
1.345,-0.16703140088144966
1.346,-0.1657969188081996
1.347,-0.16015227913790842
1.348,-0.15829784282271628
1.349,-0.16445571863404965
1.35,-0.16387442711199462
1.351,-0.16383059498914215
1.352,-0.1666190913994132
1.353,-0.17252534782848972
1.354,-0.17577866546892398
1.355,-0.1774919625894123
1.356,-0.1805999242805694
1.357,-0.18981197988040202
1.358,-0.20259734279444488
1.359,-0.21221564651150698
1.36,-0.22279869503649222
1.361,-0.23547783395390426
1.362,-0.2355396821977303
1.363,-0.22658316885723936
1.364,-0.21964560052155968
1.365,-0.21426670131192604
1.366,-0.20246781593002966
1.367,-0.18663780953108292
1.368,-0.17633522579075425
1.369,-0.17103448785554007
1.37,-0.16285845588021655
1.371,-0.16234702013007143
1.372,-0.17230935803594466
1.373,-0.17879557436843507
1.374,-0.18720328430939379
1.375,-0.1985097633800778
1.376,-0.20459531268160616
1.377,-0.21060355746055517
1.378,-0.20827389480533068
1.379,-0.18918294783597847
